dex,name,animationTime/0,animationTime/1,animationTime/2,animationTime/3,animationTime/4,animationTime/5,animationTime/6,animationTime/7,height,modelHeight,kmBuddyDistance,weight,modelScale,id,maxCP,cinematicMoves/0/name,cinematicMoves/0/id,cinematicMoves/1/name,cinematicMoves/1/id,cinematicMoves/2/name,cinematicMoves/2/id,quickMoves/0/name,quickMoves/0/id,quickMoves/1/name,quickMoves/1/id,family/id,family/name,stats/baseAttack,stats/baseDefense,stats/baseStamina,types/0/id,types/0/name,types/1/id,types/1/name,encounter/attackProbability,encounter/attackTimer,encounter/baseFleeRate,encounter/baseCaptureRate,encounter/cameraDistance,encounter/collisionRadius,encounter/dodgeDistance,encounter/dodgeProbability,encounter/jumpTime,encounter/maxPokemonActionFrequency,encounter/minPokemonActionFrequency,encounter/movementType/name,encounter/movementType/id,encounter/gender/malePercent,encounter/gender/femalePercent,camera/cylinderRadius,camera/diskRadius,camera/shoulderModeScale,evolution/futureBranches/0/name,evolution/futureBranches/0/id,evolution/futureBranches/0/futureBranches/0/name,evolution/futureBranches/0/futureBranches/0/id,evolution/futureBranches/0/futureBranches/0/costToEvolve/candyCost,evolution/futureBranches/0/costToEvolve/candyCost,buddySize/id,buddySize/name,evolution/pastBranch/name,evolution/pastBranch/id,evolution/costToEvolve/candyCost,evolution/pastBranch/pastBranch/name,evolution/pastBranch/pastBranch/id,evolution/pastBranch/costToEvolve/candyCost,camera/cylinderGround,encounter/movementType,evolution/futureBranches/0/futureBranches/1/name,evolution/futureBranches/0/futureBranches/1/id,evolution/futureBranches/0/futureBranches/1/costToEvolve/candyCost,evolution/futureBranches/0/futureBranches/1/costToEvolve/evolutionItem/id,evolution/futureBranches/0/futureBranches/1/costToEvolve/evolutionItem/name,evolution/futureBranches/1/name,evolution/futureBranches/1/id,evolution/futureBranches/1/costToEvolve/candyCost,evolution/futureBranches/1/costToEvolve/evolutionItem/id,evolution/futureBranches/1/costToEvolve/evolutionItem/name,evolution/futureBranches/0/costToEvolve/evolutionItem/id,evolution/futureBranches/0/costToEvolve/evolutionItem/name,cinematicMoves/3/name,cinematicMoves/3/id,evolution/futureBranches/0/futureBranches/0/costToEvolve/evolutionItem/id,evolution/futureBranches/0/futureBranches/0/costToEvolve/evolutionItem/name,evolution/futureBranches/2/name,evolution/futureBranches/2/id,evolution/futureBranches/2/costToEvolve/candyCost,evolution/futureBranches/3/name,evolution/futureBranches/3/id,evolution/futureBranches/3/costToEvolve/candyCost,evolution/futureBranches/4/name,evolution/futureBranches/4/id,evolution/futureBranches/4/costToEvolve/candyCost,rarity/id,rarity/name,cinematicMoves/4/name,cinematicMoves/4/id,cinematicMoves/5/name,cinematicMoves/5/id,cinematicMoves/6/name,cinematicMoves/6/id,cinematicMoves/7/name,cinematicMoves/7/id,evolution/costToEvolve/evolutionItem/id,evolution/costToEvolve/evolutionItem/name,evolution/futureBranches/1/futureBranches/0/name,evolution/futureBranches/1/futureBranches/0/id,evolution/futureBranches/1/futureBranches/0/costToEvolve/candyCost,evolution/futureBranches/0/costToEvolve/kmBuddyDistance,evolution/costToEvolve/kmBuddyDistance
92,Gastly,0,0.6667,1.6667,1,0,2.1333,2.1333,0,1.3,1,3,0.1,1,GASTLY,1002,Night Shade,NIGHT_SHADE,Dark Pulse,DARK_PULSE,Sludge Bomb,SLUDGE_BOMB,Lick Fast,LICK_FAST,Astonish Fast,ASTONISH_FAST,FAMILY_GASTLY,Gastly,186,70,60,POKEMON_TYPE_GHOST,Ghost,POKEMON_TYPE_POISON,Poison,0.1,10,0.1,0.4,4.5,0.25,1,0.2,1,1.6,0.2,Movement Psychic,MOVEMENT_PSYCHIC,0.5,0.5,0.6,0.675,0.5,Haunter,HAUNTER,Gengar,GENGAR,100,25,BUDDY_FLYING,Flying,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Haunter,2.1667,0.6667,1.6667,0.6667,0,2.3333,2,0,1.6,1.87,3,0.1,0.68,HAUNTER,1716,Shadow Punch,SHADOW_PUNCH,Dark Pulse,DARK_PULSE,Sludge Bomb,SLUDGE_BOMB,Shadow Claw Fast,SHADOW_CLAW_FAST,Astonish Fast,ASTONISH_FAST,FAMILY_GASTLY,Gastly,223,112,90,POKEMON_TYPE_GHOST,Ghost,POKEMON_TYPE_POISON,Poison,0.1,8,0.07,0.2,5.625,0.5,0.8,0.15,1,1.6,0.2,Movement Psychic,MOVEMENT_PSYCHIC,0.5,0.5,1.5,0.765,0.5,Gengar,GENGAR,,,,100,BUDDY_FLYING,Flying,Gastly,GASTLY,25,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Gengar,1.6667,0.6667,1.6667,1.8333,0,1.6667,1.3333,1.666667,1.5,1.5,3,40.5,0.84,GENGAR,2619,Shadow Ball,SHADOW_BALL,Focus Blast,FOCUS_BLAST,Sludge Bomb,SLUDGE_BOMB,Sucker Punch Fast,SUCKER_PUNCH_FAST,Hex Fast,HEX_FAST,FAMILY_GASTLY,Gastly,261,156,120,POKEMON_TYPE_GHOST,Ghost,POKEMON_TYPE_POISON,Poison,0.1,5,0.05,0.1,6,0.462,1,0.15,1.3,1.6,0.2,Movement Jump,MOVEMENT_JUMP,0.5,0.5,1,0.693,0.5,,,,,,,BUDDY_BIG,Big,Haunter,HAUNTER,100,Gastly,GASTLY,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Onix,2.3333,0.6667,1.7333,1.7333,0,2.3333,2.0333,0,8.8,5.75,5,210,0.47,ONIX,1002,Sand Tomb,SAND_TOMB,Stone Edge,STONE_EDGE,Heavy Slam,HEAVY_SLAM,Rock Throw Fast,ROCK_THROW_FAST,Tackle Fast,TACKLE_FAST,FAMILY_ONIX,Onix,85,288,70,POKEMON_TYPE_ROCK,Rock,POKEMON_TYPE_GROUND,Ground,0.1,6,0.09,0.2,5.625,0.658,1,,1,1.6,0.2,,,0.5,0.5,2.5,0.987,0.5,Steelix,STEELIX,,,,50,BUDDY_BIG,Big,,,,,,,,,,,,,,,,,,,ITEM_METAL_COAT,Metal Coat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Drowzee,1.8333,0.6667,1.6667,1.7667,0,2,2.3333,0,1,0.9,3,32.4,1.05,DROWZEE,992,Psybeam,PSYBEAM,Psyshock,PSYSHOCK,Psychic,PSYCHIC,Pound Fast,POUND_FAST,Confusion Fast,CONFUSION_FAST,FAMILY_DROWZEE,Drowzee,89,158,120,POKEMON_TYPE_PSYCHIC,Psychic,,,0.1,23,0.1,0.5,3.9375,0.3675,1,0.15,1.25,1.6,0.2,Movement Jump,MOVEMENT_JUMP,0.5,0.5,0.5,0.63,0.5,Hypno,HYPNO,,,,50,BUDDY_BIG,Big,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Hypno,1.8667,0.6667,2,1.4333,0,2.6667,1.6,0,1.6,1.55,3,75.6,0.83,HYPNO,2048,Futuresight,FUTURESIGHT,Psychic,PSYCHIC,Focus Blast,FOCUS_BLAST,Zen Headbutt Fast,ZEN_HEADBUTT_FAST,Confusion Fast,CONFUSION_FAST,FAMILY_DROWZEE,Drowzee,144,215,170,POKEMON_TYPE_PSYCHIC,Psychic,,,0.1,4,0.06,0.2,4.98,0.332,1,0.15,0.8,1.6,0.2,Movement Jump,MOVEMENT_JUMP,0.5,0.5,1,0.9338,0.5,,,,,,,BUDDY_BIG,Big,Drowzee,DROWZEE,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Krabby,1.4333,0.6667,1.6667,1.5,0,2.3333,1.3333,0,0.4,0.71,3,6.5,1.16,KRABBY,1386,Vice Grip,VICE_GRIP,Bubble Beam,BUBBLE_BEAM,Water Pulse,WATER_PULSE,Bubble Fast,BUBBLE_FAST,Mud Shot Fast,MUD_SHOT_FAST,FAMILY_KRABBY,Krabby,181,156,60,POKEMON_TYPE_WATER,Water,,,0.2,8,0.15,0.5,3.915,0.522,1,0.15,1,1.6,0.2,Movement Jump,MOVEMENT_JUMP,0.5,0.5,0.6,0.783,0.5,Kingler,KINGLER,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Kingler,2.2667,0.6667,1.8,1.5667,0,2,1.5333,0,1.3,1.37,3,60,0.87,KINGLER,2694,Vice Grip,VICE_GRIP,X Scissor,X_SCISSOR,Water Pulse,WATER_PULSE,Bubble Fast,BUBBLE_FAST,Metal Claw Fast,METAL_CLAW_FAST,FAMILY_KRABBY,Krabby,240,214,110,POKEMON_TYPE_WATER,Water,,,0.2,3,0.07,0.2,6.2,0.9,1,0.15,0.8,1.6,0.2,Movement Jump,MOVEMENT_JUMP,0.5,0.5,1.25,0.9788,0.5,,,,,,,BUDDY_BIG,Big,Krabby,KRABBY,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Voltorb,2.6667,0.6667,1.6667,1.8333,0,2.3333,2,2,0.5,0.5,3,10.4,1.35,VOLTORB,857,Discharge,DISCHARGE,Thunderbolt,THUNDERBOLT,Gyro Ball,GYRO_BALL,Spark Fast,SPARK_FAST,Tackle Fast,TACKLE_FAST,FAMILY_VOLTORB,Voltorb,109,114,80,POKEMON_TYPE_ELECTRIC,Electric,,,0.1,29,0.1,0.5,3,0.3375,1,0.2,1.2,1.6,0.2,Movement Jump,MOVEMENT_JUMP,,,0.3,0.5063,0.5,Electrode,ELECTRODE,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Electrode,2.3333,0.6667,1.6667,1.8333,0,2.3333,3,0,1.2,1.2,3,66.6,0.92,ELECTRODE,1900,Discharge,DISCHARGE,Thunderbolt,THUNDERBOLT,Hyper Beam,HYPER_BEAM,Spark Fast,SPARK_FAST,Volt Switch Fast,VOLT_SWITCH_FAST,FAMILY_VOLTORB,Voltorb,173,179,120,POKEMON_TYPE_ELECTRIC,Electric,,,0.1,23,0.06,0.2,5,0.552,1,0.2,1.2,1.6,0.2,Movement Jump,MOVEMENT_JUMP,,,0.75,0.828,0.5,,,,,,,BUDDY_BIG,Big,Voltorb,VOLTORB,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Exeggcute,2.5,0.6667,1.6667,1.6667,0,2,2,0,0.4,0.93,3,2.5,1.03,EXEGGCUTE,1102,Seed Bomb,SEED_BOMB,Psychic,PSYCHIC,Ancient Power,ANCIENT_POWER,Confusion Fast,CONFUSION_FAST,Bullet Seed Fast,BULLET_SEED_FAST,FAMILY_EXEGGCUTE,Exeggcute,107,140,120,POKEMON_TYPE_GRASS,Grass,POKEMON_TYPE_PSYCHIC,Psychic,0.1,23,0.1,0.5,3.8625,0.515,1,0.15,1,1.6,0.2,Movement Jump,MOVEMENT_JUMP,0.5,0.5,0.515,0.7725,0.5,Exeggutor,EXEGGUTOR,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Exeggutor,2.4667,0.6667,1.6667,2,0,2.2,1.6,0,2,1.8,3,120,0.78,EXEGGUTOR,2916,Seed Bomb,SEED_BOMB,Psychic,PSYCHIC,Solar Beam,SOLAR_BEAM,Bullet Seed Fast,BULLET_SEED_FAST,Extrasensory Fast,EXTRASENSORY_FAST,FAMILY_EXEGGCUTE,Exeggcute,233,158,190,POKEMON_TYPE_GRASS,Grass,POKEMON_TYPE_PSYCHIC,Psychic,0.1,3,0.06,0.2,4.5,0.507,1,0.15,1,1.6,0.2,Movement Jump,MOVEMENT_JUMP,0.5,0.5,1.25,0.7605,0.5,,,,,,,BUDDY_BIG,Big,Exeggcute,EXEGGCUTE,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Cubone,1.7333,0.6667,1.6,1.6,0,1.8333,1.6,0,0.4,0.4,3,6.5,1.48,CUBONE,943,Bone Club,BONE_CLUB,Dig,DIG,Bulldoze,BULLDOZE,Mud Slap Fast,MUD_SLAP_FAST,Rock Smash Fast,ROCK_SMASH_FAST,FAMILY_CUBONE,Cubone,90,165,100,POKEMON_TYPE_GROUND,Ground,,,0.1,23,0.1,0.4,2.625,0.222,1,0.15,1,1.6,0.2,Movement Jump,MOVEMENT_JUMP,0.5,0.5,0.25,0.444,0.5,Marowak,MAROWAK,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Marowak,2,0.6667,1.6667,1.5,0,2,1.4,0,1,1,3,45,1,MAROWAK,1691,Bone Club,BONE_CLUB,Dig,DIG,Earthquake,EARTHQUAKE,Mud Slap Fast,MUD_SLAP_FAST,Rock Smash Fast,ROCK_SMASH_FAST,FAMILY_CUBONE,Cubone,144,200,120,POKEMON_TYPE_GROUND,Ground,,,0.1,5,0.06,0.15,3.2,0.25,1,0.15,0.85,1.6,0.2,Movement Jump,MOVEMENT_JUMP,0.5,0.5,0.4,0.525,0.5,,,,,,,,,Cubone,CUBONE,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Hitmonlee,1.6667,0.6667,1.6667,1.5,0,2,0.9333,0,1.5,1.44,5,49.8,0.83,HITMONLEE,2406,Close Combat,CLOSE_COMBAT,Low Sweep,LOW_SWEEP,Stone Edge,STONE_EDGE,Low Kick Fast,LOW_KICK_FAST,Rock Smash Fast,ROCK_SMASH_FAST,FAMILY_TYROGUE,Tyrogue,224,211,100,POKEMON_TYPE_FIGHTING,Fighting,,,0.2,4,0.09,0.2,4.66875,0.415,1,0.1,0.8,1.6,0.2,Movement Jump,MOVEMENT_JUMP,1,0,0.75,0.6225,0.5,,,,,,,BUDDY_BIG,Big,Tyrogue,TYROGUE,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Hitmonchan,1.5,0.6667,1.6667,1.6667,0,1.7333,0.6667,0,1.4,1.14,5,50.2,1.02,HITMONCHAN,2098,Fire Punch,FIRE_PUNCH,Ice Punch,ICE_PUNCH,Thunder Punch,THUNDER_PUNCH,Bullet Punch Fast,BULLET_PUNCH_FAST,Counter Fast,COUNTER_FAST,FAMILY_TYROGUE,Tyrogue,193,212,100,POKEMON_TYPE_FIGHTING,Fighting,,,0.2,5,0.09,0.2,4,0.3315,1,0.1,1.1,1.6,0.2,Movement Jump,MOVEMENT_JUMP,1,0,0.459,0.6885,0.5,,,,,,,BUDDY_BIG,Big,Tyrogue,TYROGUE,25,,,,,,,,,,,,,,,,,,Close Combat,CLOSE_COMBAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Lickitung,1.6667,0.6667,1.6667,1.7333,0,2,0.8,0,1.2,1.2,3,65.5,0.92,LICKITUNG,1322,Hyper Beam,HYPER_BEAM,Stomp,STOMP,Power Whip,POWER_WHIP,Lick Fast,LICK_FAST,Zen Headbutt Fast,ZEN_HEADBUTT_FAST,FAMILY_LICKITUNG,Lickitung,108,137,180,POKEMON_TYPE_NORMAL,Normal,,,0.1,8,0.09,0.2,5.625,0.46,1,0.15,1.25,1.6,0.2,Movement Jump,MOVEMENT_JUMP,0.5,0.5,0.75,0.69,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Koffing,1.3333,0.6667,1.5,0.6667,6.666667,2,2,0,0.6,0.65,3,1,1.2,KOFFING,1091,Sludge,SLUDGE,Sludge Bomb,SLUDGE_BOMB,Dark Pulse,DARK_PULSE,Tackle Fast,TACKLE_FAST,Infestation Fast,INFESTATION_FAST,FAMILY_KOFFING,Koffing,119,164,80,POKEMON_TYPE_POISON,Poison,,,0.1,23,0.1,0.5,3.6,0.36,0.6,0.15,1,1.6,0.2,Movement Psychic,MOVEMENT_PSYCHIC,0.5,0.5,0.48,0.72,0.5,Weezing,WEEZING,,,,50,BUDDY_BIG,Big,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Weezing,2,0.6667,1.6667,0.6667,3.333333,2.4667,2.6667,0,1.2,0.76,3,9.5,1.24,WEEZING,2183,Sludge Bomb,SLUDGE_BOMB,Shadow Ball,SHADOW_BALL,Dark Pulse,DARK_PULSE,Tackle Fast,TACKLE_FAST,Infestation Fast,INFESTATION_FAST,FAMILY_KOFFING,Koffing,174,221,130,POKEMON_TYPE_POISON,Poison,,,0.1,11,0.06,0.2,4.65,0.682,1,0.15,1,1.6,0.2,Movement Hovering,MOVEMENT_HOVERING,0.5,0.5,0.62,0.93,0.5,,,,,,,BUDDY_BIG,Big,Koffing,KOFFING,50,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Rhyhorn,1.7667,1,1.5,1.8333,0,2.6667,2.4,0,1,1,3,115,1,RHYHORN,1679,Bulldoze,BULLDOZE,Horn Attack,HORN_ATTACK,Stomp,STOMP,Mud Slap Fast,MUD_SLAP_FAST,Rock Smash Fast,ROCK_SMASH_FAST,FAMILY_RHYHORN,Rhyhorn,140,157,160,POKEMON_TYPE_GROUND,Ground,POKEMON_TYPE_ROCK,Rock,0.2,5,0.1,0.5,5.25,0.5,0.8,0.15,1.25,1.6,0.2,Movement Jump,MOVEMENT_JUMP,0.5,0.5,0.7,0.75,0.5,Rhydon,RHYDON,,,,50,BUDDY_BIG,Big,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Rhydon,1.7,0.6667,2.1,1.7,0,2,1.6,0,1.9,1.85,3,120,0.79,RHYDON,3300,Surf,SURF,Earthquake,EARTHQUAKE,Stone Edge,STONE_EDGE,Mud Slap Fast,MUD_SLAP_FAST,Rock Smash Fast,ROCK_SMASH_FAST,FAMILY_RHYHORN,Rhyhorn,222,206,210,POKEMON_TYPE_GROUND,Ground,POKEMON_TYPE_ROCK,Rock,0.2,3,0.06,0.05,5.925,0.5925,1,0.15,1,1.6,0.2,Movement Jump,MOVEMENT_JUMP,0.5,0.5,1,1.185,0.5,,,,,,,BUDDY_BIG,Big,Rhyhorn,RHYHORN,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Chansey,2.1667,0.6667,2,1.5667,0,2.1667,1.7333,1.666667,1.1,1.1,5,34.6,0.96,CHANSEY,1469,Psychic,PSYCHIC,Hyper Beam,HYPER_BEAM,Dazzling Gleam,DAZZLING_GLEAM,Pound Fast,POUND_FAST,Zen Headbutt Fast,ZEN_HEADBUTT_FAST,FAMILY_CHANSEY,Chansey,60,176,500,POKEMON_TYPE_NORMAL,Normal,,,0.1,8,0.09,0.2,4.125,0.48,1,0.15,1,1.6,0.2,Movement Jump,MOVEMENT_JUMP,0,1,0.7,0.72,0.5,Blissey,BLISSEY,,,,50,BUDDY_BIG,Big,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Tangela,2,0.6667,1.8333,1.8333,0,2.5,1.8667,0,1,1,3,35,1,TANGELA,2208,Grass Knot,GRASS_KNOT,Sludge Bomb,SLUDGE_BOMB,Solar Beam,SOLAR_BEAM,Vine Whip Fast,VINE_WHIP_FAST,Infestation Fast,INFESTATION_FAST,FAMILY_TANGELA,Tangela,183,205,130,POKEMON_TYPE_GRASS,Grass,,,0.1,11,0.09,0.4,4.875,0.5,1,0.15,1.25,1.6,0.2,Movement Jump,MOVEMENT_JUMP,0.5,0.5,0.65,1.095,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Kangaskhan,2.1333,0.6667,1.6667,1.5,0,2.3333,2.3333,2.333333,2.2,2.18,3,80,0.72,KANGASKHAN,2463,Crunch,CRUNCH,Earthquake,EARTHQUAKE,Outrage,OUTRAGE,Mud Slap Fast,MUD_SLAP_FAST,Low Kick Fast,LOW_KICK_FAST,FAMILY_KANGASKHAN,Kangaskhan,181,165,210,POKEMON_TYPE_NORMAL,Normal,,,0.1,4,0.09,0.2,6,0.8,1,0.15,0.7,1.6,0.2,Movement Jump,MOVEMENT_JUMP,0,1,1.25,0.864,0.5,,,,,,,BUDDY_BIG,Big,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Horsea,0,0.6667,1.7333,0.8333,0.333333,1.6667,2,0,0.4,0.4,3,8,1.48,HORSEA,921,Bubble Beam,BUBBLE_BEAM,Dragon Pulse,DRAGON_PULSE,Flash Cannon,FLASH_CANNON,Water Gun Fast,WATER_GUN_FAST,Bubble Fast,BUBBLE_FAST,FAMILY_HORSEA,Horsea,129,125,60,POKEMON_TYPE_WATER,Water,,,0.1,29,0.1,0.5,2.775,0.148,0.5,0.15,1,1.6,0.2,Movement Hovering,MOVEMENT_HOVERING,0.5,0.5,0.25,0.2775,0.5,Seadra,SEADRA,Kingdra,KINGDRA,100,25,,,,,,,,,0.125,,,,,,,,,,,,,,,,ITEM_DRAGON_SCALE,Dragon Scale,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Seadra,0,0.6667,1.6667,0.6667,0,1.8333,2,0,1.2,1.2,3,25,0.92,SEADRA,1979,Aurora Beam,AURORA_BEAM,Dragon Pulse,DRAGON_PULSE,Hydro Pump,HYDRO_PUMP,Water Gun Fast,WATER_GUN_FAST,Dragon Breath Fast,DRAGON_BREATH_FAST,FAMILY_HORSEA,Horsea,187,182,110,POKEMON_TYPE_WATER,Water,,,0.1,17,0.06,0.2,4.3125,0.322,0.6,0.15,1,1.6,0.2,Movement Hovering,MOVEMENT_HOVERING,0.5,0.5,0.75,0.69,0.5,Kingdra,KINGDRA,,,,100,BUDDY_BIG,Big,Horsea,HORSEA,25,,,,0.5,,,,,,,,,,,,ITEM_DRAGON_SCALE,Dragon Scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Goldeen,3,1,1.6667,0.6667,0,2.1667,2.3,0,0.6,0.5,3,15,1.35,GOLDEEN,1006,Water Pulse,WATER_PULSE,Horn Attack,HORN_ATTACK,Aqua Tail,AQUA_TAIL,Peck Fast,PECK_FAST,Mud Shot Fast,MUD_SHOT_FAST,FAMILY_GOLDEEN,Goldeen,123,115,90,POKEMON_TYPE_WATER,Water,,,0.1,29,0.15,0.5,2.5,0.135,0.5,0.15,1,1.6,0.2,Movement Hovering,MOVEMENT_HOVERING,0.5,0.5,0.27,0.405,0.5,Seaking,SEAKING,,,,50,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Seaking,3.5,0.6667,1.6667,0.8333,0,1.6667,2,0,1.3,1.36,3,39,0.88,SEAKING,2040,Ice Beam,ICE_BEAM,Water Pulse,WATER_PULSE,Megahorn,MEGAHORN,Peck Fast,PECK_FAST,Waterfall Fast,WATERFALL_FAST,FAMILY_GOLDEEN,Goldeen,175,154,160,POKEMON_TYPE_WATER,Water,,,0.1,5,0.07,0.2,4,0.044,0.8,0.15,1,1.6,0.2,Movement Hovering,MOVEMENT_HOVERING,0.5,0.5,0.6,0.594,0.5,,,,,,,BUDDY_BIG,Big,Goldeen,GOLDEEN,50,,,,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Staryu,1.3333,0.6667,1.6667,1.8333,0,1.6667,2,2,0.8,0.8,3,34.5,1.1,STARYU,926,Swift,SWIFT,Bubble Beam,BUBBLE_BEAM,Power Gem,POWER_GEM,Tackle Fast,TACKLE_FAST,Water Gun Fast,WATER_GUN_FAST,FAMILY_STARYU,Staryu,137,112,60,POKEMON_TYPE_WATER,Water,,,0.1,29,0.15,0.5,3.3000004,0.4125,1,0.2,1.35,1.6,0.2,Movement Jump,MOVEMENT_JUMP,,,0.4125,0.6188,0.5,Starmie,STARMIE,,,,50,BUDDY_BIG,Big,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Starmie,1.7333,0.6667,1.8667,2.1,0,2.6667,1.9,2.1,1.1,1.08,3,80,0.97,STARMIE,2303,Hydro Pump,HYDRO_PUMP,Power Gem,POWER_GEM,Psychic,PSYCHIC,Hidden Power Fast,HIDDEN_POWER_FAST,Water Gun Fast,WATER_GUN_FAST,FAMILY_STARYU,Staryu,210,184,120,POKEMON_TYPE_WATER,Water,POKEMON_TYPE_PSYCHIC,Psychic,0.1,17,0.06,0.2,4.00125,0.485,1,0.2,1.6,1.6,0.2,Movement Jump,MOVEMENT_JUMP,,,0.6,0.7275,0.5,,,,,,,BUDDY_BIG,Big,Staryu,STARYU,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Mr Mime,2.6667,0.8333,1.8333,2,0,2,2.5333,0,1.3,1.3,5,54.5,0.89,MR_MIME,1984,Psybeam,PSYBEAM,Psychic,PSYCHIC,Shadow Ball,SHADOW_BALL,Confusion Fast,CONFUSION_FAST,Zen Headbutt Fast,ZEN_HEADBUTT_FAST,FAMILY_MR_MIME,Mr Mime,192,233,80,POKEMON_TYPE_PSYCHIC,Psychic,POKEMON_TYPE_FAIRY,Fairy,0.1,14,0.09,0.3,4.33875,0.267,0.5,0.15,1,1.6,0.2,Movement Jump,MOVEMENT_JUMP,0.5,0.5,0.8,0.6675,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Scyther,1.7333,0.6667,1.6667,0.6667,0,2,2,0,1.5,1.5,5,56,0.8,SCYTHER,2464,Night Slash,NIGHT_SLASH,X Scissor,X_SCISSOR,Aerial Ace,AERIAL_ACE,Fury Cutter Fast,FURY_CUTTER_FAST,Air Slash Fast,AIR_SLASH_FAST,FAMILY_SCYTHER,Scyther,218,170,140,POKEMON_TYPE_BUG,Bug,POKEMON_TYPE_FLYING,Flying,0.2,5,0.09,0.3,5.7,0.4,1,0.2,1,1.6,0.2,Movement Hovering,MOVEMENT_HOVERING,0.5,0.5,1,1.14,0.5,Scizor,SCIZOR,,,,50,BUDDY_BIG,Big,,,,,,,0.5,,,,,,,,,,,,ITEM_METAL_COAT,Metal Coat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Jynx,2.2667,0.6667,1.6667,1.7667,0,1.8667,2,0,1.4,1.4,5,40.6,0.87,JYNX,2512,Draining Kiss,DRAINING_KISS,Avalanche,AVALANCHE,Psyshock,PSYSHOCK,Frost Breath Fast,FROST_BREATH_FAST,Confusion Fast,CONFUSION_FAST,FAMILY_JYNX,Jynx,223,182,130,POKEMON_TYPE_ICE,Ice,POKEMON_TYPE_PSYCHIC,Psychic,0.1,11,0.09,0.3,4.89375,0.435,1,0.15,1.25,1.6,0.2,Movement Jump,MOVEMENT_JUMP,0,1,0.75,0.9788,0.5,,,,,,,BUDDY_BIG,Big,Smoochum,SMOOCHUM,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
